player_age,woba,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,woba_percent
26,0.313,88.5,8.9,32.3,5.4,31.3
27,0.351,87.5,9.2,35.8,5.4,35.1
30,0.403,92.2,14.9,32.4,12.3,40.3
26,0.402,91.3,17.3,44.7,13.2,40.2
26,0.282,86.8,10.7,28.9,3,28.2
27,0.391,91.8,6.1,36.2,4.9,39.1
30,0.362,87.6,14.5,37.6,7.4,36.2
30,0.307,90.6,14.4,33.6,9.6,30.7
26,0.391,89.1,16.3,31.6,9.2,39.1
31,0.305,85.9,19.4,40.7,5.1,30.5
26,0.284,87.4,13.6,33.9,2.8,28.4
26,0.308,88.8,18.9,29.5,6.3,30.8
29,0.336,90,13.6,38.9,7.5,33.6
25,0.319,85.5,8.2,31.5,0.7,31.9
25,0.33,90.8,10.9,32.3,7.8,33
25,0.356,90.3,4.7,28.8,6.4,35.6
29,0.327,88.9,12.9,33.8,5.4,32.7
28,0.301,86.5,13,36.6,2.1,30.1
26,0.326,92,4,26,9.2,32.6
29,0.347,89.9,14.8,38.2,6.7,34.7
26,0.333,90.6,12,29.6,9.7,33.3
26,0.342,91.1,16.9,35.4,5.9,34.2
25,0.315,88,15.4,31.8,6.7,31.5
26,0.31,88.7,16,34.2,8,31
26,0.353,89.4,8.8,32.1,10.5,35.3
26,0.319,86.1,14.6,32.4,2.9,31.9
24,0.418,90.9,13.8,37.6,14.4,41.8
24,0.338,87.7,10.3,30.7,4.2,33.8
23,0.343,88.9,15.2,30.1,7.3,34.3
28,0.298,87.6,12.9,30.3,5,29.8
29,0.349,89.7,10.3,32.7,7.9,34.9
24,0.316,86.6,16,38.3,6.3,31.6
24,0.331,89.9,14,34.5,6,33.1
24,0.32,87.4,11.9,29.7,6.9,32
25,0.386,89.5,18.8,32.7,9,38.6
26,0.315,86.9,12.3,34.4,3.9,31.5
25,0.352,91.3,10.4,34.6,11.5,35.2
25,0.341,88.6,10.1,36.7,7,34.1
25,0.345,88.3,13.7,33.4,8.6,34.5
28,0.363,90.4,16.7,36.3,9,36.3
30,0.375,90.7,18.1,43,11.3,37.5
27,0.319,89,18.1,34.1,11.1,31.9
29,0.37,88.1,18.8,31.2,8.3,37
26,0.283,83.6,8.3,29,0.7,28.3
27,0.256,88.1,8,29.8,1.1,25.6
24,0.396,89.3,20.8,36.3,11.7,39.6
23,0.366,90.3,14.5,34.9,9.3,36.6
25,0.333,88.6,9.8,28.4,3.9,33.3
24,0.367,92.6,2.7,31.9,9.7,36.7
23,0.348,89,11,28,5.3,34.8
28,0.34,89.8,15.1,36.2,6.2,34
27,0.333,88.6,19.2,36.1,12.1,33.3
27,0.344,89.1,4.9,31.1,3.1,34.4
22,0.34,88.7,7.9,34.6,4.1,34
22,0.336,89.6,14.3,31.2,7.8,33.6
23,0.316,89.3,12.4,27,2.4,31.6
23,0.311,89.5,11.8,28.6,6.9,31.1
26,0.354,90.3,10.1,29,8.6,35.4
23,0.379,89.7,12.5,31.7,5.2,37.9
25,0.3,86.3,13,30.6,4.5,30
27,0.295,87.1,11.6,27.8,3,29.5
23,0.355,88.4,13.2,35,3,35.5
22,0.316,87.6,15.2,32.3,9.3,31.6
22,0.372,91.1,10.3,37.5,8.3,37.2
21,0.318,88,8.6,32.6,6.8,31.8
31,0.308,89,7.9,30.1,5.2,30.8
21,0.349,91,7,32.9,7.7,34.9
25,0.345,90.6,10,33.7,10.6,34.5
39,0.281,87.8,14.1,35.1,4.7,28.1
35,0.319,91.1,4.4,36.9,5,31.9
35,0.355,89.3,6.1,35.9,11.1,35.5
35,0.323,88.2,15.4,37.6,5.5,32.3
35,0.346,89.9,18,34.1,11.2,34.6
32,0.315,88.3,13.2,35.6,4.9,31.5
36,0.298,85.3,17.7,36.6,3.1,29.8
32,0.315,90.1,0.1,28.5,7,31.5
